Variables:,lam_o,z,label
Type:,Float,Integer,String
Data:,3.94912,18,w
Data:,3.96581,18,x
Data:,3.96934,18,y
Data:,3.98134,18,q
Data:,3.98355,18,r
Data:,3.98567,18,a
Data:,3.98999,18,k
Data:,3.99392,18,j
Data:,3.99417,18,z
Data:,3.9508,18,wn5
Data:,3.9519,18,wn4
Data:,3.9563,18,wn3
Data:,3.968,18,st
Data:,3.9618,18,n
Data:,3.971,18,yn4
Data:,3.972,18,yn3
Data:,3.73114,18,lya1
Data:,3.73651,18,lya2
Data:,3.75526,18,T
Data:,3.7565,18,K
Data:,3.76106,18,Q
Data:,3.7634,18,B
Data:,3.7647,18,R
Data:,3.7665,18,A
Data:,3.77179,18,J
Data:,3.7398,42,4d
Data:,3.7285,18,lyas1
Data:,3.7335,18,lyas2
Data:,3.738,18,lyas3
Data:,3.743,18,lyas4
Data:,3.1773,20,w
Data:,3.1892,20,x
Data:,3.1928,20,y
Data:,3.2005,20,q
Data:,3.2027,20,r
Data:,3.2038,20,a
Data:,3.2065,20,k
Data:,3.2111,20,z
Data:,3.2102,20,j
Data:,3.1898,20,m
Data:,3.1905,20,s
Data:,3.1914,20,t
Data:,3.17983,20,wn4
Data:,3.18285,20,wn3
Data:,3.1997,18,w4n
Data:,3.1283,18,w5n
Data:,3.0908,18,w6n
Data:,3.0686,18,w7n
Data:,3.0544,18,w8n
Data:,3.0447,18,w9n
Data:,3.0378,18,w10n
Data:,3.0328,18,w11n
Data:,3.0289,18,w12n
Data:,3.0185,20,lya1
Data:,3.02391,20,lya2
Data:,3.0365,20,T
Data:,3.0388,20,K
Data:,3.0404,20,Q
Data:,3.042,20,B
Data:,3.0444,20,R
Data:,3.045,20,A
Data:,3.0484,20,J
Data:,3.0007,42,11d
Data:,3.0198,42,10d
Data:,3.0456,42,9d
Data:,3.0549,42,7c
Data:,2.7055,20,w3
Data:,2.7086,20,y3
