Nested Sampling Global Log-Evidence           :   -0.267263293164128709E+04  +/-    0.271220579616555546E+00
Nested Importance Sampling Global Log-Evidence:   -0.268319837730336712E+04  +/-    0.224464278931376882E+00

Dim No.       Mean        Sigma
   1    0.770026611963425989E+01    0.820040226406232725E-01
   2    0.270043237785210577E+01    0.274401078472166826E+00
   3    0.142547730726395622E+00    0.450121135807439367E-02
   4    0.680601363523853070E+05    0.177118375758160655E+05
   5    0.303514880895036777E+04    0.319435423613408148E+04
   6    0.430181499306643036E+04    0.362393969702115874E+04
   7    0.691076065612507518E+05    0.174971573020644901E+05
   8    0.470829845380635652E+04    0.437150299281848675E+04
   9    0.179874294578300328E+04    0.315745246861111400E+04
  10    0.536650336592012973E+05    0.170193345585926618E+05
  11    0.218819567955095408E+04    0.353475829961823911E+04
  12   -0.139957075150083324E+04    0.302579837143354825E+04

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.768145841816762864E+01
   2    0.271123757246188291E+01
   3    0.140454126711784588E+00
   4    0.911081464699805365E+05
   5   -0.785214960955174320E+03
   6    0.270461698572897876E+04
   7    0.763759149630633183E+05
   8    0.710830555585620641E+04
   9   -0.105253056134843064E+02
  10    0.506982516751251969E+05
  11    0.389924231672299186E+03
  12   -0.620640009920979901E+04

MAP Parameters
Dim No.        Parameter
   1    0.768145841816762864E+01
   2    0.271123757246188291E+01
   3    0.140454126711784588E+00
   4    0.911081464699805365E+05
   5   -0.785214960955174320E+03
   6    0.270461698572897876E+04
   7    0.763759149630633183E+05
   8    0.710830555585620641E+04
   9   -0.105253056134843064E+02
  10    0.506982516751251969E+05
  11    0.389924231672299186E+03
  12   -0.620640009920979901E+04
