Nested Sampling Global Log-Evidence           :   -0.819174028380992780E+02  +/-    0.311169505237037181E+00
Nested Importance Sampling Global Log-Evidence:   -0.907137160626677144E+02  +/-    0.541788226178481422E-01

Dim No.       Mean        Sigma
   1    0.604072469840913318E+01    0.903289774847922944E-01
   2    0.128347135869927831E+01    0.290693741316798093E+00
   3    0.752614107260292808E+01    0.163099508334878740E+00
   4    0.149990318858784491E+03    0.128015308317861010E+01
   5    0.299787130525976693E+02    0.554403614574905479E+01
   6    0.246280447224113885E+01    0.271638698048441674E+01
   7    0.775255904307752708E+01    0.687912211124620199E+00
   8   -0.574794380093662571E+00    0.636542061013699256E+00
   9    0.247629704233399445E+00    0.600823660809737703E+00
  10    0.398694331534476110E+01    0.418946258641966218E+00
  11   -0.521610477853391541E+00    0.265156449840494413E+00
  12    0.229536907169200194E+00    0.261711984080826965E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.602777213861662275E+01
   2    0.121709395299978951E+01
   3    0.742852414231918701E+01
   4    0.149229763930876686E+03
   5    0.303738922674034804E+02
   6    0.361527173048229544E+01
   7    0.838339639177733353E+01
   8   -0.141169334347652331E+01
   9    0.832133502407524928E+00
  10    0.412543763504131533E+01
  11   -0.916246706975926251E+00
  12    0.129080651086571796E+00

MAP Parameters
Dim No.        Parameter
   1    0.608005078955836797E+01
   2    0.120965988617616027E+01
   3    0.759255169625994952E+01
   4    0.150489956572394220E+03
   5    0.294832778251155396E+02
   6    0.151314791339635812E+01
   7    0.824197339614895519E+01
   8   -0.119204941763937255E+01
   9    0.927631528689758289E+00
  10    0.488242544110847909E+01
  11   -0.820379053307989770E+00
  12    0.172285546953217239E+00
