Nested Sampling Global Log-Evidence           :   -0.269640763192205395E+04  +/-    0.493784001406840312E+00
Nested Importance Sampling Global Log-Evidence:   -0.271173329155049259E+04  +/-    0.990889777902371094E+00

Dim No.       Mean        Sigma
   1    0.769244925736172203E+01    0.528893092744308832E-01
   2   -0.230441236939079452E+02    0.240832565729336912E+01
   3    0.857867114981059470E-01    0.385977513605436674E-02
   4    0.887840405207123258E+05    0.615377597597123167E+04
   5   -0.703773301946271658E+03    0.557165469699227401E+03
   6   -0.259816686974985396E+04    0.119600927193204825E+04
   7    0.385713915703760722E+05    0.564397807359971102E+04
   8    0.376040626968912647E+04    0.703122596230925296E+03
   9   -0.158201805201255866E+04    0.129586651104593216E+04
  10    0.347188761116164460E+05    0.268750135693697712E+04
  11    0.801144170148789726E+03    0.296540396427743246E+03
  12   -0.276770157974092035E+04    0.583307391407829186E+03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.769153538981102347E+01
   2   -0.232912162413813775E+02
   3    0.849667908344077377E-01
   4    0.901333604290887888E+05
   5   -0.819550935074449626E+03
   6   -0.284372574689700832E+04
   7    0.378740853241379227E+05
   8    0.391597084926232901E+04
   9   -0.167404042980737495E+04
  10    0.342292511487219017E+05
  11    0.846665387970139250E+03
  12   -0.278459423820913617E+04

MAP Parameters
Dim No.        Parameter
   1    0.769153538981102347E+01
   2   -0.232912162413813775E+02
   3    0.849667908344077377E-01
   4    0.901333604290887888E+05
   5   -0.819550935074449626E+03
   6   -0.284372574689700832E+04
   7    0.378740853241379227E+05
   8    0.391597084926232901E+04
   9   -0.167404042980737495E+04
  10    0.342292511487219017E+05
  11    0.846665387970139250E+03
  12   -0.278459423820913617E+04
